name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
重庆轨道交通3号线,2,174883796,282,25,,616.6301644,,,,railway,30,"LINESTRING (106.5616867885648 29.6357, 106.5571381 29.6335032, 106.5563342 29.6330315, 106.5561605 29.6329346)",,0
渝怀线,9,175009152,212,233,,389.1079172,,120,,railway,30,"LINESTRING (106.5370122 29.6118403, 106.5410327 29.6116744)",,0
渝怀线,10,175009152,233,235,,31.81212895,,120,,railway,30,"LINESTRING (106.5410327 29.6116744, 106.5413614 29.6116608)",,0
渝怀线,11,175009152,235,7,,1070.452329,,120,,railway,30,"LINESTRING (106.5413614 29.6116608, 106.5439298 29.6115238, 106.5472742 29.6113643, 106.5499673 29.6112187, 106.5505346 29.6112093, 106.5510281 29.611186, 106.551885 29.6111548, 106.5524174 29.6111384)",,0
,15,175009156,256,241,,48.24387632,,,,railway,30,"LINESTRING (106.5675482 29.6157869, 106.567583 29.615813, 106.5679155 29.6160806)",,0
,16,175009156,241,9,,689.5411149,,,,railway,30,"LINESTRING (106.5679155 29.6160806, 106.5682409 29.6163424, 106.5692431 29.617134, 106.5694554 29.6172725, 106.5712744 29.61876, 106.5732032 29.6202405)",,0
,20,306028176,28,23,,115.0610924,,,,railway,30,"LINESTRING (106.5543673 29.6333749, 106.5543668 29.6333424, 106.55434 29.6331909, 106.5543093 29.6330927, 106.5542442 29.6329678, 106.5541465 29.6328379, 106.5537547 29.6325363)",,0
,21,306028176,23,27,,118.3412709,,,,railway,30,"LINESTRING (106.5537547 29.6325363, 106.5540488 29.6327163, 106.5542135 29.6328562, 106.5543036 29.6329744, 106.5543821 29.6331493, 106.5544185 29.6333391, 106.5544191 29.6333686)",,0
,22,306028177,25,24,,215.6987875,,,,railway,30,"LINESTRING (106.5561605 29.6329346, 106.555605 29.632783, 106.5553097 29.6327171, 106.5551403 29.6327065, 106.5548857 29.6327124, 106.5547475 29.6327124, 106.554635 29.6326947, 106.5543831 29.6326476, 106.5540945 29.6325758, 106.5539902 29.6325463)",,0
,23,306028177,24,20,,188.9455994,,,,railway,30,"LINESTRING (106.5539902 29.6325463, 106.5538195 29.6324663, 106.553684 29.632405, 106.5534741 29.6323429, 106.5522384 29.6320282, 106.5521437 29.6320036)",,0
,25,306028179,286,26,,246.5703963,,,,railway,30,"LINESTRING (106.5561010615904 29.6357, 106.5552661 29.6353014, 106.5550941 29.6352013, 106.5549559 29.6350777, 106.5548435 29.6349293, 106.5547757 29.6348045, 106.5547269 29.6346538, 106.5547134 29.6345737, 106.5547053 29.6344454, 106.5547046 29.6340899)",,0
,26,306028179,26,287,,254.7242154,,,,railway,30,"LINESTRING (106.5547046 29.6340899, 106.5547418 29.6343359, 106.5547933 29.6346196, 106.5548258 29.6347374, 106.5549085 29.6348893, 106.5550196 29.6350329, 106.5551388 29.6351413, 106.5552878 29.6352296, 106.556037 29.6355864, 106.5562854273358 29.6357)",,0
,30,306028183,21,22,,25.63356884,,,,railway,30,"LINESTRING (106.5531839 29.6323192, 106.5533307 29.6323853, 106.5534217 29.6324211)",,0
,31,306028183,22,23,,34.72625743,,,,railway,30,"LINESTRING (106.5534217 29.6324211, 106.5536688 29.6324961, 106.5537547 29.6325363)",,0
,32,306028183,23,26,,210.9985083,,,,railway,30,"LINESTRING (106.5537547 29.6325363, 106.5541804 29.6327359, 106.5542742 29.6327992, 106.5543758 29.6328908, 106.5544907 29.6330673, 106.5545635 29.6332938, 106.5546153 29.6334853, 106.5546402 29.6336451, 106.5546421 29.63381, 106.5546574 29.6339299, 106.5547046 29.6340899)",,0
