name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,1,,282,22,,616.6301644,,,,railway,30,"LINESTRING (106.5616867885648 29.6357,106.5571381 29.6335032,106.5563342 29.6330315,106.5561605 29.6329346,106.55462626666667 29.633119611111113,)",,
,2,,39,7,,1070.452329,,,,railway,30,"LINESTRING ()",,
,3,,58,9,,689.5411149,,,,railway,30,"LINESTRING ()",,
,4,,22,20,,188.9455994,,,,railway,30,"LINESTRING (106.55462626666667 29.633119611111113,106.5539902 29.6325463,106.5538195 29.6324663,106.553684 29.632405,106.5534741 29.6323429,106.5522384 29.6320282,106.5521437 29.6320036,)",,
,5,,31,22,,246.5703963,,,,railway,30,"LINESTRING (106.5564838 29.635690225,106.5561010615904 29.6357,106.5552661 29.6353014,106.5550941 29.6352013,106.5549559 29.6350777,106.5548435 29.6349293,106.5547757 29.6348045,106.5547269 29.6346538,106.5547134 29.6345737,106.5547053 29.6344454,106.5547046 29.6340899,106.55462626666667 29.633119611111113,)",,
,6,,22,31,,254.7242154,,,,railway,30,"LINESTRING (106.55462626666667 29.633119611111113,106.5547046 29.6340899,106.5547418 29.6343359,106.5547933 29.6346196,106.5548258 29.6347374,106.5549085 29.6348893,106.5550196 29.6350329,106.5551388 29.6351413,106.5552878 29.6352296,106.556037 29.6355864,106.5562854273358 29.6357,106.5564838 29.635690225,)",,
,7,,21,22,,25.63356884,,,,railway,30,"LINESTRING (106.5531839 29.6323192,106.5533307 29.6323853,106.5534217 29.6324211,106.55462626666667 29.633119611111113,)",,
,8,,22,31,,277.7422389,,,,railway,30,"LINESTRING ()",,
,9,,22,19,,311.7705878,,,,railway,30,"LINESTRING (106.55462626666667 29.633119611111113,106.5534217 29.6324211,106.552935 29.6322974,106.5511916 29.6318461,106.5503295 29.6316229,)",,
,10,,22,31,,281.2959301,,,,railway,30,"LINESTRING ()",,
,11,,39,290,,1568.876155,,,,railway,30,"LINESTRING (106.53981054918032 29.612463547540987,106.5351427 29.6137,106.5332224 29.6138147,106.529655 29.6143251,106.524908 29.615813,106.5204161 29.6181655,106.5201 29.6183772618104,)",,
,12,,48,7,,357.8915133,,,,railway,30,"LINESTRING (106.557484 29.6118596,106.5570528 29.6118796,106.5564575 29.6119277,106.5557734 29.6120269,106.55384 29.6123937,106.55242304230771 29.612024457692307,)",,
,13,,7,39,,1187.906432,,,,railway,30,"LINESTRING ()",,
,14,,8,58,,406.487946,,,,railway,30,"LINESTRING (106.56306810000001 29.612598633333334,106.5630652 29.6127262,106.5633689 29.6129973,106.5637384 29.6133343,106.5638511 29.613438,106.5639449 29.6135255,106.5642252 29.6138391,106.5643794 29.6140023,106.5644948 29.6141131,106.5646329 29.614232,106.5647831 29.614337,106.5660853 29.615251,106.56781200769228 29.616144065384614,)",,
,15,,8,68,,119.9216851,,,,railway,30,"LINESTRING (106.56306810000001 29.612598633333334,106.5631108 29.6127047,106.5634165 29.6129752,106.5637344 29.6132632,106.5639785 29.6134754,106.564186 29.613637425,)",,
,16,,39,7,,898.1795122,,,,railway,30,"LINESTRING (106.53981054918032 29.612463547540987,106.5424457 29.6115501,106.5439269 29.611468,106.5439571 29.61146,106.5441401 29.6114519,106.5499475 29.6111963,106.54997 29.6111945,106.550328 29.611172,106.5511179 29.6111359,106.5514774 29.6111242,106.5517221 29.6111175,106.55242304230771 29.612024457692307,)",,
,17,,7,39,,892.2322464,,,,railway,30,"LINESTRING (106.55242304230771 29.612024457692307,106.5515075 29.6112889,106.5510831 29.6113353,106.5504568 29.6114134,106.5499899 29.6114581,106.5499751 29.6114608,106.5497165 29.6114728,106.5440324 29.6117714,106.5439454 29.611779,106.5431196 29.6117981,106.5428728 29.6117981,106.5425134 29.611783,106.5423029 29.6117783,106.53981054918032 29.612463547540987,)",,
,18,,7,39,,950.4078415,,,,railway,30,"LINESTRING (106.55242304230771 29.612024457692307,106.5515075 29.6112889,106.5511924 29.6113356,106.549984 29.6115454,106.5498338 29.6115734,106.549626 29.6115991,106.5439611 29.6118952,106.5439223 29.6118931,106.5437399 29.6119034,106.5435186 29.6119022,106.5432758 29.6118906,106.5422579 29.6118008,106.5419709 29.6117821,106.5417275 29.6117727,106.53981054918032 29.612463547540987,)",,
,19,,39,7,,811.0985088,,,,railway,30,"LINESTRING (106.53981054918032 29.612463547540987,106.5428869 29.6114953,106.5431417 29.6114661,106.5433791 29.6114323,106.5439227 29.6113714,106.5439562 29.6113539,106.54412 29.611346,106.5495924 29.6110522,106.5499616 29.611054,106.55125 29.6110965,106.55242304230771 29.612024457692307,)",,
